Id,cateId,picS,picB,name,describe,price,originPrice,author,brand,publishDate,isPChome,isNC17,couponActid,BU
DEDB8L-A900B6OHD,DQCD00,/items/DEDB8LA900B6OHD/000001_1615441089.jpg,/items/DEDB8LA900B6OHD/000001_1615441089.jpg,【fioJa費歐家】3門6層大容量上掀式鞋櫃(收納/置物),"【fioJa費歐家】3門6層大容量掀式多層鞋櫃(收納/置物)\r\n掀蓋式附門設計，防塵保護愛鞋有專屬的空間~
在視覺上也可以讓空間更加簡潔美觀！

加大加寬設計，適合不同收納、置物、鞋櫃…等都好放喔~
中間層固定板設計，增加鞋櫃結構的穩固性，使用更安全~

下單選購前參考組裝影片
檔案名稱:組裝上掀式置物櫃 鞋櫃
https:  youtu.be 8no85toychk",748,748,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047243', 'C047168']",ec
DEDB8P-A900FHZP4,DQCD2G,/items/DEDB8PA900FHZP4/000001_1663579870.jpg,/items/DEDB8PA900FHZP4/000001_1663579870.jpg,【HappyLife】楠竹製壓克力櫃門矮鞋櫃/四門132CM (Y10817),"【HappyLife】楠竹製壓克力櫃門矮鞋櫃/四門132CM (Y10817)\r\n天然楠竹材質
可坐可置物
鞋靴輕鬆收納
桶裝水實測80kg",2868,2868,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DEDB8P-A900FHZEC,DQCD2G,/items/DEDB8PA900FHZEC/000001_1663576736.jpg,/items/DEDB8PA900FHZEC/000001_1663576736.jpg,【HappyLife】楠竹製網紋櫃門矮鞋櫃/四門132CM (Y10814),"【HappyLife】楠竹製網紋櫃門矮鞋櫃/四門132CM (Y10814)\r\n天然楠竹材質
可坐可置物
鞋靴輕鬆收納
桶裝水實測80kg",2868,2868,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
DQCD0D-A900GKUYO,DQCD0D,/items/DQCD0DA900GKUYO/000001_1692068667.jpg,/items/DQCD0DA900GKUYO/000001_1692068667.jpg,鞋櫃簡易家用門口簡約現代小型玄關宿舍鞋架收納,鞋櫃簡易家用門口簡約現代小型玄關宿舍鞋架收納\r\n,2879,2879,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047244', 'C047169', 'C047242', 'C047246', 'C047167', 'C047162', 'C047243', 'C047168']",ec
QFCB19-A900AP1EJ,DQCD2G,/items/QFCB19A900AP1EJ/000001_1591167185.jpg,/items/QFCB19A900AP1EJ/000001_1591167185.jpg,【HappyLife】楠竹製三門六層鞋櫃/寬88公分/單抽 (YV9925),"【HappyLife】楠竹製三門六層鞋櫃/寬88公分/單抽 (YV9925)\r\n帶門設計	大容量收納
全密封背板、側板
多元收納空間",2880,2880,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047162', 'C047168']",ec
QFAA8K-A9008RL7Z,DQCD29,/items/QFAA8KA9008RL7Z/000001_1666776318.jpg,/items/QFAA8KA9008RL7Z/000001_1666776318.jpg,ATHOME-日系簡約2尺白木紋二門單抽鞋櫃(60*33*95cm)維尼,"ATHOME-日系簡約2尺白木紋二門單抽鞋櫃(60*33*95cm)維尼\r\n◆高級mdf板材
◆細緻木質紋理
◆多重收納空間
‧專人送到府／免組裝

-----------------------
▼同系列共有
2.1尺掀式鞋櫃
2尺二門鞋櫃
2.7尺二門二抽鞋櫃
3.3尺二抽三門鞋櫃可選",2887,2887,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305']",ec
QFCB15-A900A8M67,DQCD0C,/items/QFCB15A900A8M67/000001_1567595133.jpg,/items/QFCB15A900A8M67/000001_1567595133.jpg,【家適帝】創新雙骨加穩多格收納鞋櫃 (8層/14格),"【家適帝】創新雙骨加穩多格收納鞋櫃 (8層/14格)\r\n※新一代堅固加厚板材鞋架
※層板可變更位置，適合各種高度的鞋類
※具備兩種小物收納空間，時尚又實用
※占地空間少，充分利用垂直收納
※板材表面多層保護膜，防水耐髒
※日式優雅配色，兩種格數、各三色可選",740,740,,,,1,0,"['C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C047244', 'C047169', 'C047242', 'C047246', 'C047243', 'C047168']",ec
DQCD3Q-A900GCA4W,DQCD3Q,/items/DQCD3QA900GCA4W/000001_1684391676.jpg,/items/DQCD3QA900GCA4W/000001_1684391676.jpg,Bernice-奧柏2尺坐鞋櫃/穿鞋椅,"Bernice-奧柏2尺坐鞋櫃/穿鞋椅\r\n簡約大方造型，質感居家擺設
嚴選防蛀木心板製作，穩固耐用
開放式的設計，節省開合空間
附活動隔板一片，輕鬆調整間距
柔軟舒適的坐墊，坐著穿鞋無負擔
防滑腳粒設計，保護地板不被刮傷
專人送到府／免組裝！",2942,2942,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
DQCD2Z-A900GC9OH,DQCD2Z,/items/DQCD2ZA900GC9OH/000001_1684384636.jpg,/items/DQCD2ZA900GC9OH/000001_1684384636.jpg,【時尚屋】[UF10]貝克4尺座鞋櫃UF10-032-多色可選/免運費/免組裝/鞋櫃,"【時尚屋】[UF10]貝克4尺座鞋櫃UF10-032-多色可選/免運費/免組裝/鞋櫃\r\n北歐設計簡約風格
木心板高品質質感
門片採用緩衝後鈕
整體造型讓空間更加寬廣",2951,2951,,,,1,0,"['C044306', 'C044302', 'C044304', 'C044307', 'C044308', 'C044303', 'C047093', 'C047229', 'C047092', 'C047228', 'C047090', 'C047091', 'C044301', 'C044314', 'C044532', 'C044313', 'C044534', 'C044305', 'C047169', 'C047167', 'C047168']",ec
DQCD3C-A900GOEGY,DQCD3C,/items/DQCD3CA900GOEGY/000001_1695262767.jpg,/items/DQCD3CA900GOEGY/000001_1695262767.jpg,【RICHOME】南洋風情鞋櫃,"【RICHOME】南洋風情鞋櫃\r\n✓ 低甲醛環保材質，使用更安心
✓ 緩衝門紐設計，開關門更安全
✓ 可收納擺放各式小物 鞋類好方便
✓ 藤編透氣拉門、開放式收納設計，鞋子不怕悶臭
✓ 椅腳鐵架設計更堅固耐用",2975,2975,,,,1,0,"{'1': 'C044306', '2': 'C044302', '3': 'C044304', '4': 'C044307', '5': 'C044308', '6': 'C044303', '7': 'C044301', '8': 'C044314', '9': 'C044532', '10': 'C044313', '11': 'C044534', '12': 'C044305'}",ec
